Time (s) - Detector SiHi:amps (P) 	Primary Axis - Detector SiHi:amps (P) 	
1541.2	3.604481E-6	
1542.2	3.610675E-6	
1543.2	3.612755E-6	
1544.2	3.608565E-6	
1545.2	3.614561E-6	
1546.2	3.616461E-6	
1547.2	3.616619E-6	
1548.2	3.603929E-6	
1549.2	3.615299E-6	
1550.2	3.611459E-6	
1551.2	3.614734E-6	
1552.2	3.608605E-6	
1553.2	3.609946E-6	
1554.2	3.617603E-6	
1555.2	3.614631E-6	
1556.2	3.617362E-6	
1557.2	 3.61856E-6	
1558.2	3.606751E-6	
1559.2	3.615291E-6	
1560.2	3.614386E-6	
1561.2	3.610829E-6	
1562.2	3.618791E-6	
1563.2	3.617848E-6	
1564.2	3.616178E-6	
1565.2	3.615993E-6	
1566.2	 3.61309E-6	
1567.2	3.612684E-6	
1568.2	3.610924E-6	
1569.2	3.613134E-6	
1570.2	3.613866E-6	
1571.2	3.616255E-6	
1572.2	3.612807E-6	
1573.2	3.611527E-6	
1574.2	3.613735E-6	
1575.2	3.616894E-6	
1576.2	3.613709E-6	
1577.2	3.615365E-6	
1578.2	3.620594E-6	
1579.2	 3.61191E-6	
1580.2	3.609949E-6	
1581.2	3.611616E-6	
1582.2	3.608943E-6	
1583.2	 3.61367E-6	
1584.2	3.613776E-6	
1585.2	3.618132E-6	
1586.2	3.611042E-6	
1587.2	3.619217E-6	
1588.2	3.615787E-6	
1589.2	3.615152E-6	
1590.2	3.614531E-6	
1591.2	 3.61141E-6	
1592.2	3.605506E-6	
1593.2	3.613243E-6	
1594.2	3.611158E-6	
1595.2	3.609024E-6	
1596.2	3.614034E-6	
1597.2	 3.61493E-6	
1598.2	3.612632E-6	
1599.2	3.614678E-6	
1600.2	3.611994E-6	
1601.2	3.617903E-6	
1602.2	3.616795E-6	
1603.2	3.613892E-6	
1604.2	3.608853E-6	
1605.2	3.610699E-6	
1606.2	3.612438E-6	
1607.2	3.615477E-6	
1608.2	3.612994E-6	
1609.2	3.612932E-6	
1610.2	3.613605E-6	
1611.2	3.616975E-6	
1612.2	3.616018E-6	
1613.2	3.618621E-6	
1614.3	3.609316E-6	
1615.3	 3.61121E-6	
1616.3	3.610256E-6	
1617.3	3.616578E-6	
1618.3	3.612901E-6	
1619.3	3.612404E-6	
1620.3	3.611497E-6	
1621.3	  3.6121E-6	
1622.3	3.616899E-6	
1623.3	3.612747E-6	
1624.3	3.614415E-6	
1625.3	3.612256E-6	
1626.3	3.606325E-6	
1627.3	3.609528E-6	
1628.3	3.613498E-6	
1629.3	3.612259E-6	
1630.3	3.615716E-6	
1631.3	3.613616E-6	
1632.3	3.609629E-6	
1633.3	 3.60616E-6	
1634.3	3.608522E-6	
1635.3	3.616117E-6	
1636.3	  3.6148E-6	
1637.3	3.614553E-6	
1638.3	3.616577E-6	
1639.3	3.610178E-6	
1640.3	3.607158E-6	
1641.3	3.609899E-6	
1642.3	3.609892E-6	
1643.3	3.609131E-6	
1644.3	3.612999E-6	
1645.3	3.609523E-6	
1646.3	3.613067E-6	
1647.3	3.613369E-6	
1648.3	3.607116E-6	
1649.3	3.612381E-6	
1650.3	3.612133E-6	
1651.3	 3.61503E-6	
1652.3	3.609099E-6	
1653.3	 3.61079E-6	
1654.3	3.618096E-6	
1655.3	3.611506E-6	
1656.3	3.620288E-6	
1657.3	3.611189E-6	
1658.3	3.616103E-6	
1659.3	3.616896E-6	
1660.3	3.611002E-6	
1661.3	3.621391E-6	
1662.3	3.616591E-6	
1663.3	 3.61693E-6	
1664.3	 3.62434E-6	
1665.3	3.619588E-6	
1666.3	3.619212E-6	
1667.3	 3.61475E-6	
1668.3	3.616075E-6	
1669.3	3.614627E-6	
1670.3	3.615768E-6	
1671.3	3.617886E-6	
1672.3	3.617991E-6	
1673.3	3.618847E-6	
1674.3	3.620808E-6	
1675.3	 3.61893E-6	
1676.3	3.621972E-6	
1677.3	3.623979E-6	
1678.3	3.619089E-6	
1679.3	3.622665E-6	
1680.3	3.618549E-6	
1681.3	3.622126E-6	
1682.3	 3.61951E-6	
1683.3	3.622915E-6	
1684.3	3.621592E-6	
1685.3	3.622038E-6	
1686.3	3.619992E-6	
1687.3	3.612932E-6	
1688.3	3.611746E-6	
1689.3	3.616527E-6	
1690.3	3.616811E-6	
1691.3	3.615785E-6	
1692.3	3.623026E-6	
1693.3	3.622399E-6	
1694.3	3.618205E-6	
1695.3	3.619058E-6	
1696.3	3.615273E-6	
1697.3	3.618358E-6	
1698.3	 3.61896E-6	
1699.3	3.623008E-6	
1700.3	3.621811E-6	
1701.3	3.614254E-6	
1702.3	3.619339E-6	
1703.3	 3.61517E-6	
1704.3	3.622899E-6	
1705.3	3.619236E-6	
1706.3	3.622113E-6	
1707.3	3.621153E-6	
1708.3	3.619884E-6	
1709.3	3.621897E-6	
1710.3	3.620429E-6	
1711.3	3.618134E-6	
1712.3	3.617537E-6	
1713.3	3.616478E-6	
1714.3	3.616745E-6	
1715.3	3.619092E-6	
1716.3	3.619332E-6	
1717.3	3.623717E-6	
1718.3	3.627568E-6	
1719.3	3.621886E-6	
1720.3	  3.6191E-6	
1721.3	3.623189E-6	
1722.3	3.623966E-6	
1723.3	3.617996E-6	
1724.3	3.621676E-6	
1725.3	3.622498E-6	
1726.3	3.620067E-6	
1727.3	 3.62222E-6	
1728.3	3.615495E-6	
1729.3	3.623624E-6	
1730.3	3.621073E-6	
1731.3	3.615219E-6	
1732.3	3.620933E-6	
1733.3	3.621454E-6	
1734.3	 3.61613E-6	
1735.3	3.617485E-6	
1736.3	3.622007E-6	
