          TS_Te        TS_Terr         T15_Te       T15_Terr          TS_ne        TS_nerr         T15_ne       T15_nerr        TS_chi2       T15_chi2
       129.1299         3.9968       117.3909         7.7300     4.1252e+04     7.1220e+02     4.8456e-26     1.7231e-27        19.9850         2.2177
       228.7616         6.0617       189.0591         9.8211     4.4310e+04     7.1084e+02     5.8882e-26     1.8878e-27         4.4366         6.2314
       251.6377         8.7771       276.8015        16.7213     3.4923e+04     6.4313e+02     4.4140e-26     1.6128e-27         4.0591         2.6237
       490.3707        11.7066       539.4078        27.7271     5.7392e+04     7.8400e+02     7.2653e-26     2.0075e-27         2.6554         9.7581
       539.4078        12.8352       593.3486        29.6253     6.5126e+04     8.2991e+02     8.7086e-26     2.1896e-27         2.9021         8.9789
       652.6834        17.0651       717.9518        44.7584     6.2107e+04     8.0858e+02     7.4557e-26     2.0622e-27         1.1488         2.8578
       717.9518        19.5789       789.7470        51.7665     6.2633e+04     8.0801e+02     7.5004e-26     2.0707e-27         1.0405         9.2754
       789.7470        22.5873       868.7217        58.8427     6.2808e+04     8.0569e+02     7.9867e-26     2.1385e-27         2.3900         2.8059
       955.5938        30.2649      1051.1532        79.7158     6.5695e+04     8.2972e+02     8.9130e-26     2.3981e-27         1.0673         4.4698
      1051.1532        36.3951      1399.0849       140.3710     6.3832e+04     8.2772e+02     8.5605e-26     2.7312e-27         2.3750         7.5375
      1271.8954        51.6942      1538.9934       173.5618     6.3681e+04     8.6920e+02     8.2811e-26     2.8642e-27         0.6105         3.9763
      1399.0849        64.5602      1399.0849       152.1688     5.7579e+04     8.4803e+02     7.4995e-26     2.5692e-27         1.6342         1.2361
      1399.0849        67.6948      1538.9934       192.7829     5.2785e+04     8.1900e+02     6.7106e-26     2.6159e-27         0.3283         5.5904
      1399.0849        70.4593      1692.8927       257.7952     4.9294e+04     7.9619e+02     6.0859e-26     2.9411e-27         0.8007         5.9579
      1399.0849        74.0796      1692.8927       246.1608     4.4273e+04     7.4786e+02     5.9362e-26     2.6440e-27         4.9391        11.3060
      1399.0849        76.5191      1538.9934       217.8943     4.1829e+04     7.3441e+02     5.5807e-26     2.4426e-27         3.6021         3.3277
      1538.9934        96.1833      1692.8927       268.0126     3.8284e+04     7.4016e+02     5.1259e-26     2.5073e-27         4.0862         2.2704
      1271.8954        71.5177      1271.8954       176.6066     3.3511e+04     6.3117e+02     3.9392e-26     1.7532e-27         2.0301         2.3137
      1051.1532        54.7268      1156.2685       197.3214     2.9662e+04     5.7793e+02     3.6547e-26     1.9350e-27         3.5605        12.4833
      1051.1532        54.8635      1051.1532       159.5026     2.8332e+04     5.5697e+02     3.5844e-26     1.8603e-27         1.0043         3.2404
       789.7470        36.1381       955.5938       117.2717     2.4914e+04     5.1105e+02     2.9353e-26     1.3356e-27         1.7037         4.2984
       955.5938        49.5172       955.5938       108.1587     2.6261e+04     5.3902e+02     3.3524e-26     1.4275e-27         2.6061         3.6655
       789.7470        39.7203       868.7217       113.0581     2.1133e+04     4.7971e+02     2.5516e-26     1.2834e-27         8.6486         0.5009
       868.7217        45.8666       955.5938       118.1708     2.2086e+04     4.9127e+02     2.9755e-26     1.3568e-27         0.6586         1.9232
       789.7470        41.1549       955.5938       121.5084     2.0747e+04     4.7641e+02     2.8134e-26     1.3402e-27         8.9765         1.6558
       955.5938        57.4221      1156.2685       200.3667     1.9016e+04     4.5236e+02     2.3959e-26     1.3568e-27         3.0784         3.3062
      1051.1532        63.9173      1271.8954       209.8925     2.1616e+04     4.9157e+02     2.7064e-26     1.4468e-27         1.9403         9.0767
       789.7470        43.4604       717.9518        91.4240     1.7963e+04     4.4155e+02     2.0848e-26     1.1450e-27         4.4281         2.2718
      2478.5643      1285.7031      2478.5643       741.1870     1.1965e+03     1.8794e+02     2.3920e-26     2.5308e-27        51.8630        73.0580
       129.1299         5.2488       156.2472        12.7830     3.1425e+04     6.4517e+02     3.5494e-26     1.4636e-27         7.1754         2.0979
       106.7190         2.9156       117.3909         7.2176     5.2588e+04     8.1129e+02     5.6605e-26     1.8601e-27         3.6424         2.4227
       189.0591         4.2498       171.8719         8.1501     7.0046e+04     9.0461e+02     8.6363e-26     2.2441e-27         3.1891         4.2660
       304.4816         5.7365       304.4816        10.2040     8.2400e+04     9.5714e+02     1.0828e-25     2.4516e-27         0.7409        10.0007
       368.4228         6.5546       368.4228        12.8236     9.3551e+04     1.0077e+03     1.2659e-25     2.6547e-27         0.4659         1.8890
       445.7916         7.6257       445.7916        16.4354     1.0632e+05     1.0623e+03     1.3139e-25     2.7012e-27         0.2462         7.9148
       539.4078        10.2608       539.4078        22.4798     9.9695e+04     1.0364e+03     1.1795e-25     2.5438e-27         2.9114         9.0860
       652.6834        13.7624       652.6834        30.5877     9.1491e+04     9.7240e+02     1.1557e-25     2.5557e-27         7.3419         6.7665
       789.7470        18.9803       868.7217        48.0666     8.7891e+04     9.5286e+02     1.1757e-25     2.5790e-27         4.0188         5.9053
       868.7217        21.4875      1051.1532        65.3732     9.6571e+04     1.0042e+03     1.3195e-25     2.9080e-27         7.9246         7.3303
      1051.1532        28.1364      1156.2685        76.6567     1.0564e+05     1.0608e+03     1.3759e-25     3.0545e-27         3.2875         3.8568
      1051.1532        28.1834      1156.2685        76.8859     1.0763e+05     1.0791e+03     1.3662e-25     3.0575e-27         4.0425         9.0950
      1156.2685        34.3481      1271.8954        94.7322     1.0081e+05     1.0626e+03     1.2892e-25     3.1015e-27         0.8687         5.9893
      1271.8954        42.4858      1399.0849       119.6001     9.2597e+04     1.0368e+03     1.1788e-25     3.1958e-27         0.8381         6.4227
      1271.8954        43.7447      1538.9934       164.3017     8.8358e+04     1.0223e+03     1.1632e-25     3.6916e-27         0.4695         2.6410
      1271.8954        43.8776      1399.0849       122.6039     8.7616e+04     1.0136e+03     1.1070e-25     3.0658e-27         0.6330         3.1241
      1271.8954        45.0324      1399.0849       129.0991     8.2490e+04     9.7899e+02     1.0507e-25     3.0968e-27         1.6358         7.2086
      1271.8954        44.7994      1399.0849       126.8694     8.3846e+04     9.8928e+02     1.0519e-25     3.0332e-27         1.5043         2.9593
      1271.8954        44.9621      1538.9934       214.4954     8.4073e+04     1.0003e+03     1.0602e-25     4.6597e-27         1.3154         0.5388
      1156.2685        38.7512      1271.8954       108.2591     7.9515e+04     9.4335e+02     9.9277e-26     2.7147e-27         1.2352         6.1426
      1156.2685        37.3064      1271.8954       106.8964     8.6360e+04     9.8508e+02     1.0601e-25     2.9327e-27         2.3757         5.4627
      1156.2685        36.9933      1271.8954       103.8768     8.6985e+04     9.8559e+02     1.0725e-25     2.8230e-27         0.3529         7.8479
      1051.1532        30.8786      1156.2685        85.6762     8.8611e+04     9.7517e+02     1.1149e-25     2.8090e-27         1.0567         8.2531
      1051.1532        29.9640      1156.2685        81.9750     9.4110e+04     1.0032e+03     1.1917e-25     2.8680e-27         3.1568         8.5439
       955.5938        26.9281      1051.1532        70.8378     8.3874e+04     9.4240e+02     1.1178e-25     2.6627e-27         0.5024         5.6315
      1051.1532        31.4128      1156.2685        85.9680     8.6603e+04     9.7070e+02     1.1263e-25     2.8298e-27         1.5689         9.2206
      1271.8954        43.1619      1538.9934       146.0754     9.0843e+04     1.0372e+03     1.1601e-25     3.4137e-27         0.8174         4.4910
      1271.8954        45.3976      1399.0849       128.4343     8.0723e+04     9.6817e+02     1.0182e-25     2.9756e-27         2.0776         8.7169
      1156.2685        41.4524      1271.8954       117.4287     6.8949e+04     8.7889e+02     8.8957e-26     2.6785e-27         3.1569         1.6726
      1271.8954        47.9076      1399.0849       135.8151     7.4147e+04     9.3858e+02     9.1290e-26     2.8002e-27         3.9907         7.8401
      1156.2685        45.4916      1271.8954       130.3806     5.7214e+04     7.9398e+02     7.1129e-26     2.3808e-27         4.0289         6.1577
      1399.0849        62.5687      1399.0849       154.1347     6.1401e+04     8.8082e+02     7.4841e-26     2.6294e-27         2.1216         1.9918
      1051.1532        41.1977      1156.2685       116.1116     5.0325e+04     7.4231e+02     6.1586e-26     2.1249e-27         1.9146        15.5550
      1051.1532        43.3348      1271.8954       142.5587     4.5296e+04     7.0155e+02     5.8056e-26     2.1200e-27         3.2911         4.6325
       955.5938        39.2294      1051.1532       109.8967     4.0121e+04     6.5876e+02     4.9526e-26     1.8343e-27         2.4906         2.2108
       868.7217        36.1493      1051.1532       112.9075     3.5978e+04     6.2148e+02     4.6301e-26     1.7337e-27         4.3755         3.5301
