          TS_Te        TS_Terr         T15_Te       T15_Terr          TS_ne        TS_nerr         T15_ne       T15_nerr        TS_chi2       T15_chi2
      1156.2685        37.3064      1051.1532        73.6848     8.6360e+04     9.8508e+02     2.7611e-24     6.8506e-26         2.3757         5.2784
      1156.2685        36.9933       955.5938        60.6247     8.6985e+04     9.8559e+02     2.7661e-24     6.5644e-26         0.3529         8.1120
      1051.1532        30.8786       955.5938        59.2291     8.8611e+04     9.7517e+02     2.9250e-24     6.7916e-26         1.0567        10.1047
      1051.1532        29.9640       955.5938        56.7716     9.4110e+04     1.0032e+03     3.1227e-24     6.9729e-26         3.1568         9.0357
       955.5938        26.9281       868.7217        49.2598     8.3874e+04     9.4240e+02     2.9399e-24     6.6630e-26         0.5024         5.4903
      1051.1532        31.4128       955.5938        59.2601     8.6603e+04     9.7070e+02     2.9640e-24     6.8862e-26         1.5689         9.9701
      1271.8954        43.1619      1156.2685        84.4593     9.0843e+04     1.0372e+03     2.9349e-24     7.1427e-26         0.8174         4.6348
      1271.8954        45.3976      1156.2685        88.5997     8.0723e+04     9.6817e+02     2.6202e-24     6.7128e-26         2.0776         9.6314
      1156.2685        41.4524      1051.1532        80.9803     6.8949e+04     8.7889e+02     2.3159e-24     6.2262e-26         3.1569         1.3278
      1271.8954        47.9076      1156.2685        94.0032     7.4147e+04     9.3858e+02     2.3292e-24     6.2988e-26         3.9907        10.9986
      1156.2685        45.4916      1051.1532        90.5072     5.7214e+04     7.9398e+02     1.8295e-24     5.5597e-26         4.0289         8.1052
      1399.0849        62.5687      1156.2685       106.3441     6.1401e+04     8.8082e+02     1.9217e-24     5.9124e-26         2.1216         3.5146
      1051.1532        41.1977       955.5938        80.3832     5.0325e+04     7.4231e+02     1.6045e-24     5.1333e-26         1.9146        18.7806
      1051.1532        43.3348      1051.1532        99.5879     4.5296e+04     7.0155e+02     1.4792e-24     4.9723e-26         3.2911         5.6649
       955.5938        39.2294       868.7217        76.8942     4.0121e+04     6.5876e+02     1.2953e-24     4.5641e-26         2.4906         3.2582
       868.7217        36.1493       868.7217        78.8432     3.5978e+04     6.2148e+02     1.2044e-24     4.3678e-26         4.3755         3.5842
       789.7470        31.6859       789.7470        69.4081     3.2567e+04     5.8693e+02     1.0914e-24     4.1706e-26         2.3961        12.3672
       955.5938        45.4472       868.7217        86.4581     3.1964e+04     6.0310e+02     1.0397e-24     4.1907e-26         4.0541         4.3592
       868.7217        37.6569       868.7217        86.4890     3.1502e+04     5.7664e+02     9.7798e-25     3.9176e-26         1.0753         4.1495
       789.7470        34.6219       868.7217        91.9254     2.9544e+04     5.7149e+02     9.0053e-25     3.8351e-26         8.3823         5.9112
       717.9518        33.6729       717.9518        67.6245     2.3120e+04     5.1261e+02     8.4509e-25     3.6798e-26         1.4357         2.8667
      2478.5643       724.3362      2478.5643       525.6108     3.3322e+03     3.2603e+02     1.1349e-24     8.8613e-26        80.7620        42.1250
       156.2472         3.8849       129.1299         6.5047     6.2580e+04     8.6008e+02     2.0714e-24     6.0267e-26         5.5628         4.6170
       189.0591         4.4020       171.8719         7.3605     6.9180e+04     8.9713e+02     2.5045e-24     6.5063e-26         3.7456         5.7091
       251.6377         4.8459       228.7616         8.6271     7.9721e+04     9.4929e+02     2.7907e-24     6.8075e-26         2.4428        13.4468
       334.9298         5.9767       304.4816        10.7738     8.5587e+04     9.6890e+02     2.9707e-24     6.9163e-26        10.7042         7.3728
       405.2651         7.7508       405.2651        14.2762     8.3041e+04     9.4254e+02     3.0629e-24     6.9303e-26         3.3025         6.3426
       490.3707        10.4636       445.7916        17.7967     7.2371e+04     8.7406e+02     2.6126e-24     6.3289e-26         0.7210         7.6749
       593.3486        13.9312       539.4078        23.1011     7.0117e+04     8.5612e+02     2.6779e-24     6.3594e-26         4.1245         3.7104
       717.9518        18.1560       652.6834        91.7109     7.4196e+04     8.7948e+02     2.7226e-24     1.8164e-25         6.4598         0.8940
       868.7217        23.8108       789.7470        42.6188     7.6960e+04     8.9035e+02     2.8270e-24     6.5103e-26         4.3792         4.4243
       955.5938        26.6728       868.7217        49.7422     8.6204e+04     9.5644e+02     2.8672e-24     6.5839e-26         0.9976         8.6426
      1051.1532        30.4186       955.5938        58.4755     8.9829e+04     9.7833e+02     2.9863e-24     6.8176e-26         3.7678         5.3463
      1156.2685        35.9477      1051.1532        68.8838     9.0475e+04     9.9681e+02     3.0782e-24     7.0214e-26         5.7742         6.8816
      1156.2685        35.7435      1156.2685        81.6729     9.4099e+04     1.0310e+03     3.1985e-24     7.5486e-26         2.3667         5.3696
      1399.0849        49.0229      1156.2685        83.0479     9.9359e+04     1.1145e+03     3.0655e-24     7.3237e-26         1.2398         6.3267
      1399.0849        49.2952      1051.1532        68.1886     9.9255e+04     1.1216e+03     3.0587e-24     7.0077e-26         2.7956        11.4395
      1399.0849        49.6462      1271.8954        95.8077     9.7826e+04     1.1107e+03     3.2700e-24     7.7676e-26         3.4388         5.8244
      1156.2685        37.4904      1051.1532        73.4514     8.6078e+04     9.8870e+02     2.7506e-24     6.7827e-26         1.3078         3.6449
      1156.2685        37.4929      1051.1532        72.4761     8.5921e+04     9.8274e+02     2.7913e-24     6.7684e-26         5.0678         4.8361
      1156.2685        37.2152      1051.1532        71.6292     8.7222e+04     9.9132e+02     2.9346e-24     7.0246e-26         5.4891         5.4418
      1051.1532        31.6611       955.5938        59.5193     8.4307e+04     9.4947e+02     2.8194e-24     6.5705e-26         3.9251         6.4623
      1051.1532        30.4895       955.5938        58.4443     9.0988e+04     9.9122e+02     3.0498e-24     7.0113e-26         1.5430        18.5070
